Order_Date,Category,Customer_ID,Revenue
2022-09-06,Office Supplies,CUST-0472,218.58
2023-06-26,Office Supplies,CUST-0051,390.72
2023-02-05,Office Supplies,CUST-0340,317.64
2023-06-30,Office Supplies,CUST-0450,429.21
2022-04-21,Furniture,CUST-0183,49.51
2023-01-09,Office Supplies,CUST-0388,130.49
2022-07-14,Office Supplies,CUST-0160,76.69
2023-09-26,Furniture,CUST-0277,128.59
2023-02-09,Office Supplies,CUST-0133,100.6
2022-12-12,Technology,CUST-0433,684.89
2022-09-06,Office Supplies,CUST-0214,205.51
2022-12-16,Furniture,CUST-0048,183.1
2023-09-17,Office Supplies,CUST-0180,167.68
2023-10-01,Technology,CUST-0014,45.12
2022-12-31,Furniture,CUST-0187,495.28
2022-01-07,Office Supplies,CUST-0407,1156.64
2023-05-21,Office Supplies,CUST-0371,428.41
2023-09-23,Office Supplies,CUST-0202,446.69
2022-05-06,Furniture,CUST-0145,236.63
2022-01-25,Office Supplies,CUST-0067,157.28
2023-04-15,Office Supplies,CUST-0264,760.78
2023-08-18,Office Supplies,CUST-0101,503.51
2022-11-11,Technology,CUST-0229,57.98
2023-03-13,Furniture,CUST-0198,169.72
2023-03-22,Furniture,CUST-0095,13.97
2022-05-17,Furniture,CUST-0243,350.73
2022-04-28,Furniture,CUST-0486,223.35
2023-03-17,Technology,CUST-0203,36.84
2022-11-22,Technology,CUST-0324,296.54
2022-08-13,Technology,CUST-0140,242.99
2022-05-19,Technology,CUST-0333,90.07
2023-11-04,Office Supplies,CUST-0010,696.31
2022-06-17,Technology,CUST-0321,691.69
2022-11-25,Technology,CUST-0459,845.69
2022-04-05,Technology,CUST-0318,120.22
2022-11-30,Technology,CUST-0459,213.72
2022-12-15,Furniture,CUST-0361,176.84
2022-10-18,Furniture,CUST-0005,319.26
2023-08-24,Technology,CUST-0089,59.25
2022-10-22,Technology,CUST-0288,27.63
2022-05-23,Office Supplies,CUST-0145,150.34
2023-05-18,Office Supplies,CUST-0309,238.77
2023-10-08,Office Supplies,CUST-0179,344.77
2023-03-24,Furniture,CUST-0111,314.92
2023-02-24,Technology,CUST-0441,798.32
2023-02-15,Technology,CUST-0254,320.39
2022-04-28,Technology,CUST-0159,89.63
2022-08-04,Office Supplies,CUST-0015,138.76
2023-11-16,Technology,CUST-0095,264.33
2022-10-19,Technology,CUST-0283,76.76
2023-07-04,Furniture,CUST-0023,130.6
2022-10-29,Office Supplies,CUST-0218,229.29
2023-09-15,Technology,CUST-0171,622.62
2022-05-07,Furniture,CUST-0092,306.09
2022-02-20,Technology,CUST-0296,153.2
2023-02-24,Furniture,CUST-0313,135.63
2023-07-21,Furniture,CUST-0399,122.03
2023-03-12,Technology,CUST-0154,180.04
2023-07-29,Office Supplies,CUST-0090,166.46
2023-02-22,Technology,CUST-0128,313.95
2022-06-28,Furniture,CUST-0025,191.71
2022-03-04,Furniture,CUST-0154,161.17
2023-12-02,Furniture,CUST-0327,72.89
2022-05-21,Office Supplies,CUST-0435,232.28
2022-10-12,Office Supplies,CUST-0477,178.46
2023-02-28,Office Supplies,CUST-0257,163.04
2022-04-23,Office Supplies,CUST-0166,535.19
2023-10-06,Furniture,CUST-0413,217.49
2022-06-11,Office Supplies,CUST-0087,172.84
2022-06-27,Technology,CUST-0008,333.93
2022-02-23,Office Supplies,CUST-0229,71.12
2023-09-01,Office Supplies,CUST-0264,165.03
2022-04-30,Technology,CUST-0400,147.37
2022-06-14,Furniture,CUST-0398,306.67
2023-11-04,Furniture,CUST-0147,155.78
2023-07-02,Office Supplies,CUST-0082,62.73
2023-04-16,Furniture,CUST-0020,98.32
2022-09-13,Office Supplies,CUST-0226,148.37
2022-12-30,Furniture,CUST-0202,282.47
2022-02-28,Technology,CUST-0128,190.2
2023-06-05,Office Supplies,CUST-0237,55.77
2022-07-20,Furniture,CUST-0235,77.9
2023-09-02,Furniture,CUST-0075,167.49
2022-05-08,Furniture,CUST-0356,103.89
2023-01-13,Technology,CUST-0117,199.48
2022-01-27,Technology,CUST-0134,89.86
2023-03-31,Office Supplies,CUST-0401,361.42
2023-04-21,Technology,CUST-0046,150.79
2022-01-29,Office Supplies,CUST-0296,232.36
2023-11-07,Technology,CUST-0295,296.06
2023-10-26,Technology,CUST-0069,221.31
2023-07-02,Office Supplies,CUST-0467,123.42
2022-12-31,Furniture,CUST-0201,219.5
2023-05-16,Office Supplies,CUST-0296,194.63
2022-02-11,Office Supplies,CUST-0291,618.88
2022-08-17,Furniture,CUST-0435,312.62
2022-02-13,Technology,CUST-0305,42.04
2022-11-26,Office Supplies,CUST-0497,228.81
2023-10-23,Technology,CUST-0485,56.26
2023-12-11,Technology,CUST-0466,191.16
2022-02-16,Furniture,CUST-0016,355.48
2023-09-21,Technology,CUST-0371,221.46
2023-05-13,Office Supplies,CUST-0477,430.86
2023-02-06,Office Supplies,CUST-0103,187.8
2022-06-08,Office Supplies,CUST-0108,78.07
2022-12-30,Office Supplies,CUST-0376,470.48
2022-12-15,Office Supplies,CUST-0397,366.8
2023-03-26,Furniture,CUST-0170,247.13
2022-09-08,Technology,CUST-0141,316.63
2022-01-29,Technology,CUST-0477,174.53
2023-11-28,Office Supplies,CUST-0236,36.22
2023-11-20,Furniture,CUST-0142,32.54
2022-11-20,Technology,CUST-0293,194.67
2022-12-10,Furniture,CUST-0187,238.52
2022-03-02,Furniture,CUST-0380,394.53
2022-01-11,Technology,CUST-0226,168.65
2023-07-18,Furniture,CUST-0072,226.91
2023-05-08,Furniture,CUST-0107,286.4
2022-08-06,Furniture,CUST-0259,281.73
2023-12-28,Technology,CUST-0099,289.51
2023-07-27,Furniture,CUST-0419,350.38
2022-06-09,Office Supplies,CUST-0269,410.38
2022-03-30,Office Supplies,CUST-0398,180.09
2023-09-27,Furniture,CUST-0137,429.99
2022-11-28,Furniture,CUST-0463,320.35
2022-05-04,Office Supplies,CUST-0328,701.02
2022-06-25,Office Supplies,CUST-0454,376.1
2022-02-09,Office Supplies,CUST-0347,205.61
2022-10-16,Technology,CUST-0147,146.93
2023-11-12,Office Supplies,CUST-0045,297.23
2022-06-19,Furniture,CUST-0155,115.34
2022-01-31,Technology,CUST-0394,284.07
2023-03-13,Technology,CUST-0415,98.85
2023-06-09,Office Supplies,CUST-0113,365.53
2022-12-26,Furniture,CUST-0188,145.34
2022-08-21,Technology,CUST-0319,113.08
2022-12-01,Technology,CUST-0477,125.69
2022-11-20,Office Supplies,CUST-0017,286.27
2023-02-05,Office Supplies,CUST-0193,122.2
2023-01-16,Office Supplies,CUST-0029,666.09
2023-10-08,Office Supplies,CUST-0416,336.21
2023-03-06,Office Supplies,CUST-0004,418.32
2023-02-01,Technology,CUST-0271,318.25
2022-05-10,Technology,CUST-0084,395.26
2023-06-23,Technology,CUST-0382,167.48
2022-03-25,Office Supplies,CUST-0441,69.74
2023-05-22,Office Supplies,CUST-0380,384.35
2023-06-08,Office Supplies,CUST-0492,365.03
2023-08-07,Furniture,CUST-0473,257.93
2023-11-17,Office Supplies,CUST-0199,279.43
2023-11-24,Technology,CUST-0378,462.66
2022-07-25,Office Supplies,CUST-0382,286.2
2023-06-05,Furniture,CUST-0444,220.51
2022-12-10,Office Supplies,CUST-0064,111.96
2022-03-13,Office Supplies,CUST-0478,137.79
2023-06-28,Office Supplies,CUST-0217,84.49
2022-02-15,Furniture,CUST-0080,192.7
2022-04-02,Technology,CUST-0202,209.84
2023-08-12,Furniture,CUST-0406,101.82
2022-06-15,Office Supplies,CUST-0174,378.9
2023-03-04,Furniture,CUST-0459,298.39
2023-09-27,Furniture,CUST-0262,526.83
2023-12-17,Technology,CUST-0178,541.09
2022-03-25,Office Supplies,CUST-0251,739.43
2023-01-25,Technology,CUST-0410,169.86
2022-05-07,Office Supplies,CUST-0362,591.28
2023-06-08,Furniture,CUST-0301,136.83
2022-05-27,Technology,CUST-0356,302.18
2022-10-15,Office Supplies,CUST-0082,263.95
2023-12-24,Furniture,CUST-0352,133.32
2022-02-04,Furniture,CUST-0438,1164.22
2022-12-19,Technology,CUST-0305,268.44
2023-02-08,Office Supplies,CUST-0220,317.95
2023-06-16,Office Supplies,CUST-0050,236.83
2022-04-27,Office Supplies,CUST-0228,410.02
2023-02-22,Technology,CUST-0295,319.03
2022-09-25,Office Supplies,CUST-0018,41.7
2023-06-04,Office Supplies,CUST-0478,126.29
2023-01-10,Office Supplies,CUST-0422,112.95
2022-11-14,Furniture,CUST-0381,344.95
2022-05-10,Furniture,CUST-0145,59.01
2023-11-07,Technology,CUST-0303,439.12
2022-01-10,Furniture,CUST-0270,121.67
2022-12-27,Office Supplies,CUST-0276,24.4
2023-05-28,Furniture,CUST-0374,362.02
2023-05-12,Technology,CUST-0312,455.46
2023-12-20,Office Supplies,CUST-0251,153.51
2023-05-26,Furniture,CUST-0282,126.21
2022-04-29,Furniture,CUST-0485,171.99
2022-07-25,Office Supplies,CUST-0276,277.82
2022-08-04,Office Supplies,CUST-0126,222.37
2022-08-11,Furniture,CUST-0427,278.62
2023-03-04,Office Supplies,CUST-0151,87.0
2022-12-07,Furniture,CUST-0264,317.33
2022-12-24,Technology,CUST-0086,352.47
2023-03-03,Office Supplies,CUST-0114,64.36
2023-06-22,Technology,CUST-0232,143.96
2022-01-01,Furniture,CUST-0464,246.42
2022-10-31,Office Supplies,CUST-0090,82.49
2023-07-29,Technology,CUST-0169,139.29
2023-08-08,Furniture,CUST-0159,300.8
2023-05-09,Technology,CUST-0019,260.29
2023-08-17,Technology,CUST-0279,473.73
2023-03-31,Furniture,CUST-0143,162.18
2023-12-12,Office Supplies,CUST-0403,82.37
2023-05-12,Office Supplies,CUST-0102,17.51
2023-09-14,Office Supplies,CUST-0450,111.75
2023-03-30,Technology,CUST-0221,68.99
2022-10-20,Furniture,CUST-0228,44.12
2022-12-09,Technology,CUST-0498,229.1
2023-09-11,Furniture,CUST-0303,635.46
2023-02-03,Furniture,CUST-0203,64.48
2022-11-30,Office Supplies,CUST-0496,134.23
2023-05-09,Office Supplies,CUST-0239,872.67
2023-11-01,Technology,CUST-0433,393.21
2022-03-31,Furniture,CUST-0459,127.43
2022-08-29,Office Supplies,CUST-0298,290.57
2022-03-25,Office Supplies,CUST-0263,136.67
2023-07-13,Technology,CUST-0375,436.9
2022-10-04,Technology,CUST-0393,303.84
2023-09-25,Technology,CUST-0072,439.08
2022-02-18,Furniture,CUST-0293,415.74
2022-06-16,Office Supplies,CUST-0146,89.29
2023-03-15,Office Supplies,CUST-0175,288.44
2023-10-23,Furniture,CUST-0432,149.19
2023-02-23,Office Supplies,CUST-0160,56.85
2023-03-17,Office Supplies,CUST-0258,340.74
2022-09-20,Office Supplies,CUST-0323,27.74
2023-04-04,Technology,CUST-0188,23.57
2023-08-03,Technology,CUST-0042,227.36
2022-12-19,Office Supplies,CUST-0073,241.56
2022-03-11,Office Supplies,CUST-0196,459.78
2023-03-04,Furniture,CUST-0149,168.52
2023-12-13,Office Supplies,CUST-0300,67.79
2023-12-28,Office Supplies,CUST-0102,63.31
2022-12-20,Office Supplies,CUST-0116,215.31
2023-04-22,Office Supplies,CUST-0311,111.97
2023-03-22,Office Supplies,CUST-0055,106.32
2023-05-30,Technology,CUST-0237,459.11
2023-09-19,Furniture,CUST-0005,366.24
2022-10-13,Office Supplies,CUST-0454,343.26
2023-04-01,Technology,CUST-0161,225.06
2023-05-24,Furniture,CUST-0481,876.79
2023-08-01,Office Supplies,CUST-0258,213.81
2022-06-29,Furniture,CUST-0154,330.97
2022-11-07,Furniture,CUST-0406,241.51
2023-05-05,Office Supplies,CUST-0049,199.76
2023-08-17,Office Supplies,CUST-0158,301.62
2022-03-14,Office Supplies,CUST-0163,308.01
2022-05-10,Furniture,CUST-0206,207.93
2022-09-10,Technology,CUST-0164,227.59
2022-04-20,Technology,CUST-0238,201.61
2022-01-25,Office Supplies,CUST-0482,57.84
2023-06-21,Furniture,CUST-0173,289.42
2023-10-15,Technology,CUST-0020,208.48
2023-03-23,Office Supplies,CUST-0349,207.7
2022-10-14,Furniture,CUST-0467,166.35
2022-12-11,Furniture,CUST-0267,317.68
2022-03-24,Furniture,CUST-0149,497.39
2022-07-09,Furniture,CUST-0263,145.69
2023-09-07,Furniture,CUST-0101,227.58
2022-08-09,Office Supplies,CUST-0124,282.12
2023-12-04,Office Supplies,CUST-0483,335.77
2022-04-02,Office Supplies,CUST-0455,369.33
2023-01-21,Furniture,CUST-0405,342.84
2023-08-14,Office Supplies,CUST-0471,217.34
2022-08-01,Technology,CUST-0493,71.94
2022-12-04,Furniture,CUST-0160,82.14
2023-12-04,Office Supplies,CUST-0256,195.25
2023-05-25,Furniture,CUST-0052,336.26
2023-03-12,Technology,CUST-0042,62.96
2023-02-01,Furniture,CUST-0192,113.22
2023-07-26,Furniture,CUST-0097,408.23
2022-08-20,Office Supplies,CUST-0203,10.31
2022-03-20,Technology,CUST-0343,185.3
2023-04-12,Furniture,CUST-0428,702.16
2023-05-20,Technology,CUST-0385,221.91
2023-02-12,Furniture,CUST-0017,55.48
2023-02-03,Technology,CUST-0499,84.08
2023-05-06,Office Supplies,CUST-0261,445.66
2023-07-04,Furniture,CUST-0368,333.33
2022-08-11,Technology,CUST-0360,50.7
2023-07-15,Furniture,CUST-0324,534.4
2022-06-18,Technology,CUST-0119,115.95
2023-01-09,Office Supplies,CUST-0160,380.93
2022-10-15,Office Supplies,CUST-0226,148.62
2022-07-02,Furniture,CUST-0488,96.13
2022-05-04,Office Supplies,CUST-0114,167.64
2022-05-02,Technology,CUST-0119,160.11
2022-08-21,Office Supplies,CUST-0149,163.89
2022-12-26,Office Supplies,CUST-0151,566.65
2022-07-22,Office Supplies,CUST-0150,268.53
2023-08-30,Office Supplies,CUST-0407,115.11
2023-04-06,Office Supplies,CUST-0421,239.66
2022-01-19,Furniture,CUST-0030,473.73
2022-12-28,Office Supplies,CUST-0072,323.47
2022-09-18,Technology,CUST-0388,169.33
2023-05-06,Office Supplies,CUST-0405,95.06
2022-08-19,Office Supplies,CUST-0066,448.56
2023-08-21,Technology,CUST-0314,119.63
2022-07-28,Furniture,CUST-0121,181.84
2022-03-11,Technology,CUST-0101,272.29
2023-09-15,Office Supplies,CUST-0020,112.33
2023-04-14,Furniture,CUST-0359,323.16
2022-02-07,Furniture,CUST-0188,126.11
2023-12-29,Furniture,CUST-0186,915.73
2023-06-20,Office Supplies,CUST-0082,156.2
2022-11-15,Furniture,CUST-0406,210.33
2022-03-17,Technology,CUST-0486,298.54
2023-11-16,Furniture,CUST-0183,132.84
2023-04-26,Furniture,CUST-0116,345.27
2022-06-10,Office Supplies,CUST-0260,370.17
2022-02-16,Furniture,CUST-0198,250.85
2023-09-11,Furniture,CUST-0254,53.55
2023-12-11,Office Supplies,CUST-0365,142.79
2022-02-18,Office Supplies,CUST-0192,293.61
2023-08-05,Office Supplies,CUST-0126,195.77
2022-11-09,Furniture,CUST-0297,619.35
2022-12-30,Furniture,CUST-0031,191.79
2023-02-12,Furniture,CUST-0414,354.23
2022-06-12,Furniture,CUST-0270,96.02
2023-09-10,Technology,CUST-0070,88.39
2022-08-16,Furniture,CUST-0084,411.52
2023-11-21,Office Supplies,CUST-0007,709.31
2023-02-03,Furniture,CUST-0248,76.38
2023-03-02,Technology,CUST-0376,222.16
2022-11-09,Office Supplies,CUST-0021,350.01
2022-11-01,Office Supplies,CUST-0345,61.82
2023-03-21,Furniture,CUST-0178,119.89
2023-08-21,Office Supplies,CUST-0081,133.06
2023-02-27,Technology,CUST-0017,52.28
2023-05-09,Office Supplies,CUST-0065,73.78
2022-02-26,Office Supplies,CUST-0098,168.13
2023-03-11,Office Supplies,CUST-0086,384.9
2023-07-25,Office Supplies,CUST-0192,111.1
2023-07-15,Furniture,CUST-0391,220.57
2022-08-02,Furniture,CUST-0232,414.73
2023-12-27,Furniture,CUST-0270,158.11
2022-01-26,Office Supplies,CUST-0066,42.42
2022-09-11,Office Supplies,CUST-0044,173.32
2023-03-12,Office Supplies,CUST-0379,1214.59
2023-12-10,Technology,CUST-0268,29.32
2022-06-13,Furniture,CUST-0072,232.72
2023-07-13,Furniture,CUST-0238,64.35
2022-09-25,Furniture,CUST-0336,218.8
2022-09-16,Technology,CUST-0363,126.72
2023-11-19,Furniture,CUST-0260,130.27
2023-01-01,Furniture,CUST-0032,257.45
2022-05-09,Office Supplies,CUST-0375,127.18
2023-11-01,Office Supplies,CUST-0260,93.98
2022-05-11,Office Supplies,CUST-0281,261.77
2023-10-28,Furniture,CUST-0133,284.7
2023-07-26,Office Supplies,CUST-0395,165.7
2022-12-30,Office Supplies,CUST-0213,337.23
2022-10-04,Furniture,CUST-0218,124.4
2023-11-06,Furniture,CUST-0041,101.47
2022-10-06,Office Supplies,CUST-0150,309.88
2023-09-12,Office Supplies,CUST-0271,133.4
2022-09-05,Furniture,CUST-0423,249.69
2023-10-22,Furniture,CUST-0456,366.82
2022-05-23,Furniture,CUST-0227,146.96
2022-10-29,Technology,CUST-0484,259.39
2022-07-26,Furniture,CUST-0225,285.76
2022-08-07,Office Supplies,CUST-0091,42.55
2023-05-16,Office Supplies,CUST-0035,50.32
2023-05-22,Office Supplies,CUST-0281,143.51
2023-10-24,Technology,CUST-0083,189.74
2023-03-02,Office Supplies,CUST-0284,87.27
2023-05-23,Office Supplies,CUST-0500,419.82
2023-03-13,Office Supplies,CUST-0424,35.31
2022-11-30,Technology,CUST-0196,293.52
2023-05-29,Office Supplies,CUST-0110,299.73
2023-03-08,Furniture,CUST-0035,791.4
2023-05-09,Technology,CUST-0255,63.85
2023-11-15,Furniture,CUST-0201,348.17
2022-11-20,Technology,CUST-0482,230.83
2023-03-07,Furniture,CUST-0438,398.62
2023-07-13,Furniture,CUST-0147,179.45
2023-07-04,Office Supplies,CUST-0157,386.92
2023-03-31,Furniture,CUST-0260,162.82
2022-07-13,Furniture,CUST-0347,806.22
2023-10-27,Furniture,CUST-0061,217.05
2023-12-31,Technology,CUST-0467,167.79
2022-10-18,Office Supplies,CUST-0340,20.25
2023-10-15,Office Supplies,CUST-0049,419.44
2022-11-14,Office Supplies,CUST-0310,123.21
2022-12-10,Furniture,CUST-0041,221.18
2022-07-02,Technology,CUST-0397,485.07
2023-05-09,Technology,CUST-0333,528.23
2022-04-19,Office Supplies,CUST-0240,109.01
2023-08-25,Technology,CUST-0250,326.61
2023-11-01,Furniture,CUST-0215,272.31
2023-10-20,Furniture,CUST-0478,305.61
2023-02-16,Office Supplies,CUST-0113,419.72
2023-01-13,Office Supplies,CUST-0041,227.28
2023-03-26,Technology,CUST-0461,276.57
2022-07-29,Furniture,CUST-0201,386.98
2023-10-29,Technology,CUST-0093,247.86
2022-12-16,Furniture,CUST-0081,253.23
2022-11-07,Office Supplies,CUST-0474,662.68
2023-07-28,Office Supplies,CUST-0223,486.52
2022-10-04,Office Supplies,CUST-0146,178.97
2023-03-05,Furniture,CUST-0437,243.46
2023-03-27,Office Supplies,CUST-0172,411.05
2022-03-04,Furniture,CUST-0075,29.11
2023-09-04,Office Supplies,CUST-0408,441.85
2023-03-16,Furniture,CUST-0007,84.71
2023-03-20,Office Supplies,CUST-0419,140.49
2023-04-24,Technology,CUST-0395,426.03
2023-11-19,Furniture,CUST-0204,66.98
2022-01-31,Office Supplies,CUST-0365,204.36
2023-10-28,Furniture,CUST-0363,272.03
2022-08-22,Office Supplies,CUST-0262,162.53
2023-04-30,Technology,CUST-0037,563.95
2022-02-04,Technology,CUST-0196,202.23
2022-02-28,Technology,CUST-0500,225.19
2022-10-05,Office Supplies,CUST-0165,948.02
2023-01-14,Technology,CUST-0387,30.42
2023-02-20,Technology,CUST-0250,175.07
2022-10-27,Technology,CUST-0324,135.42
2023-08-27,Office Supplies,CUST-0125,724.1
2023-03-11,Technology,CUST-0099,88.7
2022-04-14,Office Supplies,CUST-0152,63.59
2022-10-11,Technology,CUST-0101,287.24
2023-10-21,Furniture,CUST-0091,241.94
2022-05-20,Furniture,CUST-0246,281.56
2023-04-21,Furniture,CUST-0184,312.57
2023-06-13,Technology,CUST-0154,148.03
2023-08-05,Office Supplies,CUST-0250,1246.6
2023-02-11,Office Supplies,CUST-0203,62.52
2023-05-14,Office Supplies,CUST-0179,183.94
2023-11-18,Technology,CUST-0260,387.46
2022-06-12,Furniture,CUST-0329,53.04
2023-07-29,Technology,CUST-0443,389.38
2023-05-09,Furniture,CUST-0208,786.32
2022-07-23,Technology,CUST-0152,280.08
2022-10-13,Technology,CUST-0303,451.92
2022-05-21,Technology,CUST-0389,49.61
2022-07-20,Technology,CUST-0164,118.59
2023-01-19,Office Supplies,CUST-0479,252.54
2022-12-21,Office Supplies,CUST-0398,26.7
2023-01-10,Technology,CUST-0380,234.9
2022-07-07,Furniture,CUST-0474,40.03
2022-10-22,Office Supplies,CUST-0215,103.58
2023-07-21,Technology,CUST-0221,436.37
2023-11-01,Technology,CUST-0021,246.56
2022-11-09,Technology,CUST-0031,201.24
2022-01-10,Technology,CUST-0054,399.27
2022-06-09,Office Supplies,CUST-0178,361.17
2022-01-22,Office Supplies,CUST-0260,299.79
2023-04-16,Technology,CUST-0012,29.21
2022-12-20,Technology,CUST-0361,195.68
2023-08-14,Furniture,CUST-0241,117.83
2022-10-21,Technology,CUST-0088,202.39
2023-01-25,Furniture,CUST-0377,174.88
2023-11-05,Office Supplies,CUST-0100,224.08
2022-05-21,Office Supplies,CUST-0198,266.79
2023-11-29,Furniture,CUST-0413,184.43
2023-12-30,Technology,CUST-0394,142.42
2022-04-11,Technology,CUST-0364,119.76
2023-03-28,Technology,CUST-0094,172.64
2022-10-20,Furniture,CUST-0101,33.36
2023-06-24,Technology,CUST-0355,49.49
2022-08-24,Furniture,CUST-0455,169.27
2022-07-29,Office Supplies,CUST-0100,144.63
2023-04-04,Technology,CUST-0470,284.45
2023-09-13,Technology,CUST-0237,105.67
2022-10-01,Technology,CUST-0326,141.99
2022-05-29,Office Supplies,CUST-0310,231.29
2022-08-15,Office Supplies,CUST-0049,177.91
2023-10-12,Office Supplies,CUST-0303,44.55
